"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","context_n","context_img_id","probe_img_id","choice_outcomes","trial_n","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct"
"","html-keyboard-response","42","105684","0.0-29.0-12.0","823.97500006482","<div class='center'><p>You win bonus money by making choices as fast as possible.</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","106104","0.0-30.0-0.0","418.5749999014661","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","44","106418","0.0-30.0-1.0","313.45999997574836","<div class='center'><p>You press the <b>‘3’</b> button on the keyboard to choose the red bearded pirate? </p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","106709","0.0-31.0-0.0","290.015000035055","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","107579","0.0-31.0-1.0","869.3250000942498","<div class='center'><p>A pirate will always be equally successful at robbing ships in each place</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","107845","0.0-32.0-0.0","265.3649999992922","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","108149","0.0-32.0-1.0","302.5599999818951","<div class='center'><p>You should remember the place where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","108410","0.0-33.0-0.0","260.149999987334","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","108966","0.0-34.0-0.0","554.924999945797","<br><br><br><br><p>Good job! You’re now ready to move on to the real game!</p> <p><br>[press the space bar to begin!]</br></p>","32","","","","","","","","","","","","","","","",""
"","do_trial","51","113345","0.0-35.0-0.0","827.5900000007823","","","","49","6","blank","null","1,1,0","240","1","0.4","0.1","1","","","","",""
"","do_recog","52","116090","0.0-36.0-0.0","1233.6600000271574","","","","55","","","probe-60","","241","","","","","1","[object Object]","40","1","1"
"","do_trial","53","120476","0.0-37.0-0.0","835.4300000937656","","","","49","6","blank","null","1,1,0","242","1","0.45437852463186595","0.12279703645960416","1","","","","",""
"","do_recog","54","126484","0.0-38.0-0.0","null","","","","null","","","probe-91","","243","","","","","1","[object Object]","204","5","0"
"","html-keyboard-response","55","132335","0.0-39.0-0.0","5850.734999985434","<div class='center'>You are all done with the experiment! You made $15 plus $3 in bonus payment!! Thank you for participating. You will recieve your payment within 3 days<p><b>[Press the space bar to end the experiment]</b></p><</div>","32","","","","","","","","","","","","","","","",""
