"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","invalidProbeTrials","availableForMemProbe","choice_blocks"
"","html-keyboard-response","47","59420","0.0-32.0-0.0","175.27000000700355","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","59799","0.0-32.0-1.0","379.0750000043772","<div class='center'><p>You should remember the place where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","60094","0.0-33.0-0.0","293.27500000363216","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","60561","0.0-34.0-0.0","466.2900000112131","<br><br><br><br><p>Good job! You’re now ready to move on to the real game!</p> <p><br>[press the space bar to begin!]</br></p>","32","","","","","","","","","","","","","","","","","","","",""
"","do_welcome","51","62070","0.0-35.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","52","67103","0.0-36.0-0.0","479.99000002164394","","","","49","1,1,0","0","forest","0","probe-143","1","0.4","0.1","1","","","","","","","","",""
"","do_trial","53","71988","0.0-37.0-0.0","334.68500000890344","","","","50","1,0,0","0","forest","1","probe-235","1","0.32210004523720753","0.13798020917132006","0","","","","","","","","",""
"","do_bye","54","73494","0.0-38.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","55","79497","0.0-39.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","56","81005","0.0-39.0-1.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","57","86297","0.0-40.0-0.0","743.1749999814201","","","","49","1,0,0","1","mountain","2","probe-90","1","0.3783493788259369","0.17130487827739221","1","","","","","","","","",""
"","do_trial","58","91221","0.0-41.0-0.0","375.8899999957066","","","","50","1,0,0","1","mountain","3","probe-190","1","0.3358047223914333","0.10119019568480647","0","","","","","","","","",""
"","do_bye","59","92731","0.0-42.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","60","98734","0.0-43.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","61","100243","0.0-43.0-1.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","62","105381","0.0-44.0-0.0","586.6549999918789","","","","51","1,0,0","2","coast","4","probe-101","0.8739746627008503","0.45089628929195597","0.0866262181459279","0","","","","","","","","",""
"","do_trial","63","110245","0.0-45.0-0.0","311.86000001616776","","","","50","1,1,0","2","coast","5","probe-200","0.8826078307121605","0.4170352987814494","0.08182318488062895","1","","","","","","","","",""
"","do_bye","64","111753","0.0-46.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_travel","65","117759","0.0-47.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_welcome","66","119267","0.0-47.0-1.0","null","","","","null","","","","","","","","","","","","","","","","","",""
"","do_trial","67","124279","0.0-48.0-0.0","463.31500000087544","","","","51","1,1,0","3","countryside","6","probe-220","0.8710154517795726","0.4739223398045197","0.13450452487723227","0","","","","","","","","",""
"","do_trial","68","129163","0.0-49.0-0.0","335.59999999124557","","","","49","1,0,0","3","countryside","7","probe-186","0.8778603162130274","0.34586972211638695","0.11413291244059455","1","","","","","","","","",""
"","do_bye","69","130671","0.0-50.0-0.0","null","","","","null","","","","","","","","","","","","","","","","","",""
